Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
2/5/2023,14.0,11.83,26.09,69.06,0.0
2/6/2023,11.0,11.87,26.14,60.88,0.0
2/7/2023,10.0,12.61,26.38,65.31,0.0
2/8/2023,11.0,13.47,28.35,72.81,0.0
2/9/2023,15.0,13.82,28.5,72.5,0.0
2/10/2023,12.0,14.32,27.6,70.38,0.0
2/11/2023,9.0,12.52,27.68,64.75,0.0
2/12/2023,9.0,14.83,27.68,67.38,0.0
2/13/2023,15.0,12.15,27.06,62.56,0.0
2/14/2023,16.0,9.76,27.59,55.88,0.0
2/15/2023,14.0,11.81,27.15,54.94,0.0
2/16/2023,11.0,11.61,28.48,56.44,0.0
2/17/2023,12.0,14.26,28.39,59.38,0.0
2/18/2023,12.0,15.08,28.45,65.75,0.0
2/19/2023,14.0,15.61,29.15,67.5,0.0
2/20/2023,5.0,16.93,28.69,68.69,0.0
2/21/2023,9.0,16.27,29.21,78.56,0.0
2/22/2023,21.0,17.15,30.12,82.25,0.0
2/23/2023,12.0,18.65,29.61,81.81,0.0
2/24/2023,31.0,17.19,31.43,75.12,0.0
2/25/2023,9.0,17.26,32.21,62.88,0.0
2/26/2023,15.0,15.94,32.39,51.69,0.0
2/27/2023,27.0,15.83,32.02,49.44,0.0
2/28/2023,16.0,17.01,31.66,52.94,0.0
3/1/2023,20.0,15.13,32.47,55.06,0.0
3/2/2023,7.0,15.72,32.83,56.31,0.0
3/3/2023,5.0,16.23,33.36,54.06,0.0
3/4/2023,26.0,16.9,34.19,52.19,0.0
3/5/2023,29.0,16.78,34.26,53.0,0.0
3/6/2023,12.0,18.69,34.11,56.31,0.0
3/7/2023,4.0,19.59,34.23,50.75,0.0
3/8/2023,21.0,17.22,32.78,49.12,0.0
3/9/2023,19.0,18.41,33.79,50.75,0.0
3/10/2023,24.0,18.23,29.72,54.88,0.0
3/11/2023,19.0,18.81,31.77,53.88,0.0
3/12/2023,28.0,17.79,36.55,49.5,0.0
3/13/2023,32.0,18.21,35.86,46.25,0.0
3/14/2023,15.0,19.85,31.94,60.19,0.0
3/15/2023,12.0,20.27,33.62,68.69,0.1
3/16/2023,18.0,19.35,31.69,70.62,0.26
3/17/2023,11.0,19.33,33.05,63.44,0.06
3/18/2023,34.0,19.46,33.3,63.44,2.55
3/19/2023,27.0,19.48,28.69,75.5,10.08
3/20/2023,22.0,19.17,25.51,87.44,18.5
3/21/2023,5.0,18.92,27.75,85.44,39.65
3/22/2023,6.0,19.39,28.09,84.19,21.86
3/23/2023,22.0,18.03,28.98,81.38,9.16
3/24/2023,28.0,17.83,31.36,70.12,2.67
3/25/2023,20.0,18.2,31.93,69.19,3.57
3/26/2023,32.0,19.58,33.21,70.56,1.0
3/27/2023,30.0,20.23,33.04,75.69,1.2
3/28/2023,30.0,20.3,32.71,78.38,1.96
3/29/2023,28.0,20.37,32.22,75.62,13.98
3/30/2023,29.0,19.44,31.14,77.19,9.76
3/31/2023,28.0,20.48,31.21,83.56,36.23
4/1/2023,41.0,21.36,28.24,90.06,44.76
4/2/2023,29.0,20.49,30.08,82.38,8.26
4/3/2023,33.0,19.38,30.83,82.44,1.67
4/4/2023,35.0,20.01,31.72,81.31,0.88
4/5/2023,32.0,21.27,32.3,82.94,1.29
4/6/2023,32.0,21.65,33.46,74.44,11.71
4/7/2023,37.0,20.47,33.06,61.12,3.12
4/8/2023,64.0,20.48,34.82,58.94,0.02
4/9/2023,72.0,21.6,34.98,59.56,0.41
4/10/2023,52.0,19.91,35.55,65.12,1.63
4/11/2023,59.0,21.07,36.42,64.62,0.0
4/12/2023,31.0,21.01,36.9,66.06,0.0
4/13/2023,42.0,20.93,37.0,66.88,0.0
4/14/2023,39.0,20.81,37.8,64.44,0.0
4/15/2023,39.0,22.67,38.95,58.75,0.0
4/16/2023,29.0,23.05,36.43,71.62,0.0
4/17/2023,61.0,23.25,34.73,78.81,0.0
4/18/2023,23.0,23.65,35.93,78.31,0.0
4/19/2023,30.0,24.14,35.33,79.75,0.0
4/20/2023,18.0,24.04,34.33,80.75,0.01
4/21/2023,57.0,23.37,34.54,78.81,2.8
4/22/2023,65.0,23.05,35.88,72.5,2.6
4/23/2023,52.0,22.84,33.76,72.81,2.98
4/24/2023,59.0,22.98,34.73,67.12,0.19
4/25/2023,48.0,22.14,35.55,65.06,0.0
4/26/2023,45.0,21.93,36.22,60.88,0.0
4/27/2023,29.0,23.01,36.7,60.81,0.11
4/28/2023,33.0,23.31,35.44,68.19,3.17
4/29/2023,34.0,23.62,37.04,63.81,2.99
4/30/2023,49.0,22.99,34.03,70.19,0.79
5/1/2023,123.0,23.72,35.55,66.25,0.08
5/2/2023,42.0,23.83,35.08,65.62,0.0
5/3/2023,49.0,23.62,34.88,69.75,2.57
5/4/2023,50.0,24.53,34.44,69.5,5.37
5/5/2023,60.0,24.58,33.06,70.62,3.19
5/6/2023,76.0,24.08,36.09,70.5,2.09
5/7/2023,99.0,24.36,37.63,62.94,0.29
5/8/2023,86.0,23.57,40.24,54.81,0.0
5/9/2023,79.0,23.69,39.95,60.06,0.0
5/10/2023,73.0,25.55,39.77,66.75,0.0
5/11/2023,76.0,25.04,39.3,65.38,0.0
5/12/2023,49.0,25.4,35.83,69.81,0.01
5/13/2023,39.0,25.04,33.92,76.12,5.28
5/14/2023,43.0,23.44,32.2,68.62,1.41
5/15/2023,56.0,21.15,34.76,67.62,4.53
5/16/2023,34.0,23.76,33.64,81.25,16.25
5/17/2023,28.0,23.95,30.48,88.69,27.12
5/18/2023,44.0,23.96,30.15,88.75,21.45
5/19/2023,39.0,23.18,31.17,85.75,3.35
5/20/2023,42.0,24.18,31.04,86.06,0.27
5/21/2023,29.0,23.2,32.83,81.62,2.46
5/22/2023,42.0,23.94,30.94,87.0,13.6
5/23/2023,39.0,24.11,30.76,88.62,19.09
5/24/2023,35.0,22.84,29.48,88.0,35.81
5/25/2023,37.0,22.48,31.15,84.94,13.98
5/26/2023,28.0,24.49,31.85,86.06,6.0
