Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
1/14/2023,44.0,12.83,27.64,71.06,0.0
1/15/2023,35.0,13.99,26.59,68.56,0.0
1/16/2023,45.0,11.94,25.44,71.38,0.0
1/17/2023,39.0,10.99,25.09,74.38,0.0
1/18/2023,43.0,10.96,23.81,71.12,0.0
1/19/2023,60.0,10.03,24.32,63.75,0.0
1/20/2023,37.0,9.87,24.62,57.38,0.0
1/21/2023,54.0,10.94,26.34,55.19,0.82
1/22/2023,39.0,12.78,27.26,59.81,0.0
1/23/2023,49.0,14.3,28.32,66.31,0.0
1/24/2023,42.0,14.23,29.62,69.62,0.0
1/25/2023,46.0,14.58,29.41,62.94,0.0
1/26/2023,20.0,16.05,29.74,62.06,0.0
1/27/2023,21.0,16.51,29.69,63.12,0.0
1/28/2023,49.0,15.54,28.98,64.62,0.0
1/29/2023,46.0,13.4,28.67,62.25,0.0
1/30/2023,61.0,13.3,29.98,57.88,0.0
1/31/2023,59.0,15.37,29.32,53.88,0.0
2/1/2023,51.0,15.33,29.02,56.12,0.0
2/2/2023,42.0,11.12,28.4,50.06,0.0
2/3/2023,44.0,10.96,28.14,50.06,0.0
2/4/2023,50.0,10.86,28.23,47.5,0.0
2/5/2023,58.0,12.85,28.97,44.06,0.0
2/6/2023,40.0,14.17,29.87,41.62,0.0
2/7/2023,42.0,13.06,30.85,54.75,0.0
2/8/2023,12.0,14.91,32.3,59.06,0.0
2/9/2023,21.0,15.4,31.0,50.31,0.0
2/10/2023,54.0,15.13,30.44,42.62,0.0
2/11/2023,73.0,14.05,33.13,53.81,0.0
2/12/2023,43.0,16.73,32.76,56.81,0.0
2/13/2023,52.0,11.53,30.08,31.44,0.0
2/14/2023,52.0,13.92,30.17,31.75,0.0
2/15/2023,59.0,13.65,28.98,35.19,0.0
2/16/2023,46.0,14.64,29.98,50.0,0.0
2/17/2023,56.0,16.35,30.56,54.12,0.03
2/18/2023,55.0,16.77,30.16,54.31,0.2
2/19/2023,52.0,16.8,30.6,57.88,0.18
2/20/2023,57.0,17.69,32.0,59.06,0.0
2/21/2023,73.0,18.76,33.68,63.81,0.0
2/22/2023,55.0,19.4,35.88,61.62,0.0
2/23/2023,57.0,19.69,35.5,59.06,0.0
2/24/2023,70.0,19.51,34.94,59.0,0.0
2/25/2023,65.0,21.18,34.28,49.38,0.05
2/26/2023,73.0,18.63,34.98,42.06,0.06
2/27/2023,69.0,16.99,34.55,39.44,0.48
2/28/2023,74.0,18.6,35.23,33.44,0.09
3/1/2023,22.0,17.87,35.19,34.56,0.0
3/2/2023,20.0,18.73,35.98,38.0,0.0
3/3/2023,50.0,21.02,36.65,30.88,0.0
3/4/2023,52.0,19.8,37.09,31.44,0.0
3/5/2023,56.0,20.8,37.37,29.88,0.0
3/6/2023,51.0,19.62,37.34,28.44,0.0
3/7/2023,9.0,18.83,37.19,28.44,0.0
3/8/2023,62.0,21.69,36.9,30.44,0.0
3/9/2023,56.0,21.14,34.68,35.12,0.0
3/10/2023,41.0,21.62,33.12,37.25,0.0
3/11/2023,62.0,21.5,36.61,35.94,0.0
3/12/2023,69.0,21.09,37.26,35.44,0.08
3/13/2023,49.0,22.26,37.86,33.12,0.06
3/14/2023,60.0,22.2,36.61,42.94,0.01
3/15/2023,51.0,22.11,36.64,52.06,0.71
3/16/2023,43.0,21.35,34.87,61.62,3.88
3/17/2023,46.0,20.94,32.15,60.44,3.43
3/18/2023,77.0,21.89,32.15,61.75,1.84
3/19/2023,75.0,21.04,28.22,80.06,13.24
3/20/2023,47.0,20.15,30.84,72.62,6.31
3/21/2023,48.0,20.25,32.06,67.12,7.16
3/22/2023,11.0,20.13,32.19,61.19,5.22
3/23/2023,53.0,20.9,32.91,58.75,1.03
3/24/2023,49.0,19.68,34.76,62.0,0.2
3/25/2023,53.0,21.19,35.76,62.88,0.55
3/26/2023,66.0,23.08,36.08,65.25,3.19
3/27/2023,26.0,22.37,34.23,70.88,14.33
3/28/2023,66.0,21.87,34.81,66.69,14.04
3/29/2023,56.0,22.69,34.63,69.44,5.07
3/30/2023,96.0,22.38,33.87,72.69,10.92
3/31/2023,108.0,22.58,31.41,82.94,20.6
4/1/2023,67.0,21.61,28.84,86.69,40.56
4/2/2023,74.0,20.05,31.71,73.19,1.95
4/3/2023,65.0,20.76,33.69,67.25,0.37
4/4/2023,85.0,21.54,35.08,67.5,0.01
4/5/2023,84.0,23.26,36.36,69.0,0.02
4/6/2023,73.0,22.23,36.44,56.56,0.01
4/7/2023,68.0,20.64,36.94,53.06,0.15
